MentalHealthDescription,MentalHealthNow,Anxiety,ControlWorrying,WorryingTooMuch,TrobleRelaxing,HardToSitStill,EasilyAnnoyed,Afraid,Stress,ShoppingToDrugStore,DeliveryServiceForGroceryOrDrug,FoodDelivery,ImpactsOnHealth,Household,Vunerable,CanadaPopHealth,WorldPopHealth,Overloading,CivilDisorder,MaintainingSocials,SuportAfterCrisis,SupportDuringCrisis,StressFromConfinement,Gender,CanadianCitizen,Age,Born,VERDATE
Very Good,Somewhat worse now,Several Days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Not at all,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",2,Born in Canada,NOV
Good,About the same,Several Days,Not at all,Several days,Several days,Not at all,More than half the days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,NOV
Good,About the same,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not very stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Not at all,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian citizen by naturalization",1,Born in Canada,NOV
Very Good,Somewhat worse now,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",19,Born outside Canada,NOV
Fair,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Quite a bit stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Not at all,Not at all,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Female,"Yes, Canadian by birth",1,Born in Canada,NOV
Excellent,About the same,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,Quite a bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Male,"Yes, Canadian citizen",3,Born in Canada,NOV
Good,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Several days,Several days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Male,"Yes, Canadian citizen by naturalization",4,Born in Canada,NOV
Very Good,Somewhat worse now,Several Days,Several days,Not at all,Several days,Not at all,Several days,Several days,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Extremely,Female,"No, not Canadian citizen",5,Born in Canada,NOV
Very Good,About the same,Several Days,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,A bit stressful,Zero times,Zero Times,Zero Times,Very,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Very,Very,Very,Female,"No, not Canadian citizen",4,Born in Canada,NOV
Very Good,Somewhat worse now,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Very,Not at all,Not at all,Somewhat,Female,"No, not Canadian citizen",0,Born in Canada,NOV
Excellent,About the same,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Male,"Yes, Canadian citizen",3,Born in Canada,NOV
Fair,About the same,More than half the days,Several days,Several days,Nearly every day,Several days,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Very,Very,Somewhat,Male,"Yes, Canadian by birth",10,Born outside Canada,NOV
Fair,Somewhat worse now,More than half the days,Several days,Several days,Several days,Not at all,Nearly every day,Not at all,Quite a bit stressful,Zero times,1 to 3 times,Zero Times,Not at all,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Very,Very,Somewhat,Female,"Yes, Canadian by birth",8,Born in Canada,NOV
Fair,About the same,Several Days,Several days,Several days,More than half the days,More than half the days,More than half the days,More than half the days,Not very stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Somewhat,Extremely,Very,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Female,"Yes, Canadian by birth",11,Born outside Canada,NOV
Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Male,"Yes, Canadian citizen by naturalization",2,Born in Canada,NOV
Fair,Somewhat worse now,Several Days,Not at all,Several days,Several days,Several days,More than half the days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Very,Female,"Yes, Canadian by birth",7,Born in Canada,NOV
Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,NOV
Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",7,Born in Canada,NOV
Good,Somewhat worse now,More than half the days,Several days,Several days,Several days,Several days,Several days,More than half the days,Not very stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Very,Very,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,NOV
Very Good,Somewhat better now,Several Days,Several days,Several days,More than half the days,Nearly every day,Not at all,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Somewhat,Very,Very,Extremely,Very,Somewhat,Extremely,Extremely,Extremely,Somewhat,Male,"No, not Canadian citizen",9,Born in Canada,NOV
Good,Somewhat worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Extremely,Very,Very,Very,Extremely,Very,Very,Extremely,Extremely,Extremely,Male,"Yes, Canadian citizen by naturalization",19,Born outside Canada,NOV
Fair,Much worse now,Nearly every day,Several days,More than half the days,Several days,Several days,More than half the days,More than half the days,Not very stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian by birth",12,Born outside Canada,NOV
Good,About the same,Several Days,Several days,Several days,More than half the days,Not at all,Nearly every day,Several days,Quite a bit stressful,Zero times,Zero Times,Zero Times,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,NOV
Good,Somewhat worse now,More than half the days,Several days,More than half the days,Not at all,Not at all,Nearly every day,Several days,A bit stressful,Zero times,1 to 3 times,Zero Times,Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,NOV
Fair,About the same,Several Days,Not at all,Not at all,Several days,Several days,Nearly every day,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Extremely,Extremely,Very,Very,Very,Very,Not at all,Extremely,Extremely,Very,Female,"Yes, Canadian by birth",7,Born in Canada,NOV
Very Good,Somewhat worse now,Several Days,Several days,Several days,More than half the days,Several days,Several days,More than half the days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",9,Born in Canada,NOV
Fair,Somewhat better now,Nearly every day,More than half the days,More than half the days,Several days,Several days,Not at all,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Somewhat,Somewhat,Very,Very,Very,Extremely,Extremely,Very,Very,Male,"Yes, Canadian by birth",10,Born outside Canada,NOV
Excellent,Somewhat better now,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Female,"Yes, Canadian citizen",0,Born in Canada,NOV
Very Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Not at all,More than half the days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Somewhat,Very,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Very,Female,"No, not Canadian citizen",6,Born in Canada,NOV
Good,About the same,More than half the days,Several days,Several days,Nearly every day,More than half the days,More than half the days,Several days,Quite a bit stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Very,Not at all,Female,"Yes, Canadian citizen by naturalization",12,Born outside Canada,NOV
Good,Somewhat worse now,Several Days,Several days,Several days,More than half the days,Several days,Nearly every day,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",9,Born in Canada,NOV
Fair,Somewhat worse now,Nearly every day,Several days,Several days,Several days,Not at all,Nearly every day,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Very,Somewhat,Somewhat,Male,"Yes, Canadian by birth",10,Born outside Canada,NOV
Fair,Somewhat worse now,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Several days,Quite a bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Not at all,Very,Very,Very,Somewhat,Somewhat,Extremely,Extremely,Extremely,Somewhat,Female,"Yes, Canadian by birth",17,Born outside Canada,NOV
Good,About the same,Not at all,Not at all,Several days,Several days,Not at all,More than half the days,Not at all,Quite a bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Extremely,Somewhat,Female,"Yes, Canadian citizen by naturalization",4,Born in Canada,NOV
Good,About the same,Not at all,Several days,More than half the days,Several days,Not at all,Several days,Not at all,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",5,Born in Canada,NOV
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Male,"No, not Canadian citizen",3,Born in Canada,NOV
Very Good,Somewhat worse now,More than half the days,Not at all,Several days,Nearly every day,Not at all,Nearly every day,Not at all,Quite a bit stressful,4 or 5 times,Zero Times,Zero Times or 5 times,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Very,Very,Very,Male,"No, not Canadian citizen",9,Born in Canada,NOV
Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,More than half the days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Very,Very,Very,Extremely,Female,"Yes, Canadian citizen by naturalization",13,Born outside Canada,NOV
Good,Somewhat worse now,More than half the days,More than half the days,Several days,Several days,Nearly every day,More than half the days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Not at all,Very,Very,Very,Very,Very,Extremely,Very,Very,Very,Female,"Yes, Canadian citizen by naturalization",12,Born outside Canada,NOV
Good,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Several days,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Somewhat,Very,Very,Somewhat,Not at all,Somewhat,Very,Very,Somewhat,Male,"Yes, Canadian citizen by naturalization",4,Born in Canada,NOV
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not very stressful,Zero times,Zero Times,Zero Times,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Male,"No, not Canadian citizen",1,Born in Canada,NOV
Very Good,Somewhat worse now,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Very,Very,Very,Somewhat,Male,"No, not Canadian citizen",2,Born in Canada,NOV
Fair,About the same,More than half the days,Several days,Several days,Nearly every day,Several days,Several days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Extremely,Not at all,Female,"Yes, Canadian by birth",10,Born outside Canada,NOV
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,NOV
Very Good,Somewhat better now,Several Days,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Not at all,Not at all,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",3,Born in Canada,NOV
