PUMFID,AGEGROUP,AGEGR_10,"When practicing recommended public health measures, which
source of information do you find the most helpful?","Which social media application do you use most often to discuss
topics about COVID-FacebookSina Weibo?
",BH_Filled prescriptions0A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,"How concerned are you about each of the following impacts of
COVID-Not at all9?
My own health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Member of the household’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Vulnerable people’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Canadian population’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
World population’s health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Overloading the health system","How concerned are you about each of the following impacts of
COVID-Not at all9?
Civil disorder","How concerned are you about each of the following impacts of
COVID-Not at all9?
Maintaining social ties","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another during the crisis","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another after the crisis
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Family stress from confinement","How concerned are you about each of the following impacts of
COVID-Not at all9?
Violence in the home","In the last week, how often did you do each of the following activities","In the last week, how often did you do each of the following activities?
Used a delivery service for groceries or for a drugstore
","In the last week, how often did you do each of the following activities?
Used a food delivery service for prepared food
","In the last week, how often did you do each of the following activities?
Ate at a restaurant","In the last week, how often did you do each of the following activities?
Attended a public event","In the last week, how often did you do each of the following activities?
Travelled for work",What is your gender?,"To what extent do you agree or disagree with the following
statement?
I might lose my main job or main self-employment income source in
the next four weeks.","Which of the following best describes the impact of COVID-Major impact9 on your
ability to meet financial obligations or essential needs, such as rent or
mortgage payments, utilities and groceries?
",PRURURB,PPROV,VERDATE
1660,7,4,Federal daily announcements by public health and political leaders,Twitter,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,2,2,1,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,No impact,2,BC,APRIL
1661,2,2,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,1,1,1,1,1,2,2,2,1,2,Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Very,Very,Very,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Agree,Moderate impact,2,ON,APRIL
1662,6,4,Provincial daily announcements by public health and political leaders,Twitter,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,9,Somewhat,Very,Not at all,Not at all,1 to 3 times,Daily or more,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,APRIL
1663,3,2,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Disagree,No impact,2,QC,APRIL
1664,8,5,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,1,2,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,No impact,2,QC,APRIL
1665,3,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,2,1,2,1,2,2,1,2,Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Neither agree nor disagree,Moderate impact,1,QC,APRIL
1666,3,2,Federal daily announcements by public health and political leaders,TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,2,2,2,1,2,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Moderate impact,2,ON,APRIL
1667,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly agree,Moderate impact,2,AB,APRIL
1668,4,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Neither agree nor disagree,Moderate impact,2,BC,APRIL
1669,10,6,"Family, friends or colleagues",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Minor impact,2,ON,APRIL
1670,10,6,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,2,2,2,Somewhat,9,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,AB,APRIL
1671,5,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never or 5 times,Female,Disagree,Minor impact,2,ON,APRIL
1672,7,4,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,2,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,2,BC,APRIL
1673,7,4,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Instagram,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,1,SK,APRIL
1674,2,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Very,Very,Very,Very,Very,Not at all,Very,Very,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never or 5 times,Male,Strongly agree,Major impact,2,ON,APRIL
1675,1,1,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,1,1,2,Not at all,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Agree,Too soon to tell,1,ON,APRIL
1676,9,5,"News outlets including local, national and international sources",Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,2,2,Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,ON,APRIL
1677,10,6,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,2,2,Somewhat,9,9,Extremely,Extremely,Extremely,9,Very,Extremely,Extremely,Not at all,Not at all,Never,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,1,ON,DEC
1678,9,5,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,2,1,Very,Very,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Moderate impact,1,ON,DEC
1679,9,5,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,2,BC,DEC
1680,3,2,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly disagree,Moderate impact,2,QC,DEC
1681,4,3,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Moderate impact,2,QC,DEC
1682,8,5,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,2,2,Not at all,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,No impact,2,QC,DEC
1683,6,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,2,1,1,1,2,1,1,2,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,BC,DEC
1684,7,4,Provincial daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Very,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Minor impact,2,BC,DEC
1685,4,3,Provincial daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Not at all,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,2,MB,DEC
1686,9,5,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Instagram,Filled prescriptions,2,1,1,2,1,1,1,1,1,1,1,2,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Male,Strongly disagree,No impact,2,AB,DEC
1687,4,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Somewhat,Very,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Strongly agree,Minor impact,1,NS,DEC
1688,3,2,"Federal health agency Help text: e.g., website, public service announcements",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,2,1,1,1,1,1,1,1,Very,Very,Extremely,Somewhat,Not at all,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Disagree,No impact,2,ON,DEC
1689,6,4,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Extremely,Extremely,Extremely,Very,Extremely,Not at all,Very,Very,Very,Not at all,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly disagree,Major impact,2,ON,DEC
1690,1,1,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,2,2,2,2,1,2,Not at all,Not at all,Very,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Moderate impact,2,BC,DEC
1691,2,2,Health professionals,Facebook,Filled prescriptions,2,2,2,2,1,1,2,1,1,2,2,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Very,Extremely,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,DEC
1692,7,4,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Not at all,Extremely,Somewhat,Very,Extremely,Not at all,Somewhat,Very,Somewhat,Very,Not at all,1 to 3 times,9,9,9,9,1 to 3 times,Female,Disagree,Too soon to tell,2,BC,DEC
1693,7,4,"News outlets including local, national and international sources",Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Minor impact,2,AB,DEC
1694,3,2,"Municipal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Disagree,No impact,2,ON,DEC
1695,5,3,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Not at all,Not at all,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,QC,DEC
1696,7,4,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,2,1,1,1,1,1,1,1,2,Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,NB,DEC
1697,5,3,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Extremely,Somewhat,Never,Never,Never,Never,Never,Never,Female,Not working at a job or business,Major impact,2,ON,DEC
1698,4,3,Provincial daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,1,2,2,1,1,1,1,1,1,2,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Female,Strongly disagree,No impact,2,AB,DEC
1699,6,4,"News outlets including local, national and international sources",TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Very,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Neither agree nor disagree,Too soon to tell,2,ON,DEC
1700,2,2,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,1,1,Somewhat,Extremely,Very,Very,Very,Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,2,ON,DEC
1701,3,2,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,2,1,1,1,1,1,1,1,Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Strongly agree,Moderate impact,2,BC,DEC
1702,3,2,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,1,2,2,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Strongly agree,Major impact,2,ON,DEC
1703,6,4,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,2,1,1,2,Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,2,AB,DEC
1704,3,2,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Moderate impact,2,ON,DEC
1705,6,4,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Neither agree nor disagree,Moderate impact,2,AB,DEC
1706,6,4,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Extremely,Extremely,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Minor impact,1,ON,DEC
1707,1,1,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Twitter,Filled prescriptions,2,2,2,2,1,1,1,1,2,1,2,2,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never or 5 times,Male,Neither agree nor disagree,Major impact,2,BC,DEC
1708,10,6,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,2,1,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,No impact,2,ON,DEC
1709,7,4,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,1,1,1,1,1,1,1,1,1,2,Not at all,Very,Extremely,Very,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Major impact,2,NS,DEC
1710,3,2,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,2,1,2,Very,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,Moderate impact,2,SK,DEC
1711,4,3,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,2,2,1,2,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Too soon to tell,2,AB,DEC
1712,6,4,"News outlets including local, national and international sourcesProvincial health agency Help text: e.g., website, public service announcements",Instagram,Filled prescriptions,2,2,2,2,2,2,2,2,2,2,2,2,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Daily or more,Never,Never,Never,Never,Daily or more,Male,Neither agree nor disagree,Moderate impact,2,ON,DEC
1713,4,3,Provincial daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,BC,DEC
1714,1,1,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,1,1,2,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Extremely,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,NL,DEC
1715,8,5,Provincial daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,2,2,2,2,1,2,1,2,2,2,2,Somewhat,Not at all,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Never or 5 times,Never,Never,Never,Never,Daily or more,Male,Strongly disagree,No impact,9,NU,DEC
1716,4,3,"Federal health agency Help text: e.g., website, public service announcements",Twitter,Filled prescriptions,2,2,2,1,1,1,1,1,2,1,1,2,Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Strongly agree,Major impact,2,QC,DEC
1717,4,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Male,Strongly disagree,Too soon to tell,2,ON,DEC
1718,1,1,"News outlets including local, national and international sourcesFederal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,2,2,1,2,1,1,2,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Extremely,Extremely,Extremely,9,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Major impact,2,BC,DEC
1719,8,5,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,NS,DEC
1720,4,3,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,ON,DEC
1721,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Sina Weibo,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Somewhat,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Strongly disagree,Too soon to tell,2,ON,DEC
1722,9,5,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,2,1,1,2,2,2,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,9,9,9,9,9,Male,Not working at a job or business,No impact,2,ON,DEC
1723,5,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,2,2,Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never or 5 times,Female,Strongly disagree,No impact,2,SK,DEC
1724,5,3,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,1,2,Very,Very,Very,Extremely,Very,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Agree,Too soon to tell,1,ON,DEC
1725,2,2,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,ON,DEC
1726,4,3,"Municipal health agency Help text: e.g., website, public service announcements",Snapchat,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Never,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Minor impact,2,ON,DEC
1727,5,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Very,Extremely,Extremely,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,2,QC,DEC
1728,2,2,"Federal health agency Help text: e.g., website, public service announcements",TikTok,Stocked up on essentials at a grocery store or pharmacy,2,1,2,2,1,1,1,1,1,1,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Somewhat,Extremely,Extremely,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Male,Strongly agree,Moderate impact,2,ON,DEC
1729,8,5,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Filled prescriptions,2,1,1,1,1,1,1,1,1,1,1,2,Very,Very,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Strongly agree,Moderate impact,2,AB,DEC
1730,3,2,Federal daily announcements by public health and political leaders,Instagram,Filled prescriptions,1,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Not at all,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,Minor impact,2,ON,DEC
1731,7,4,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Never,Never,Never,Never,Never,Never,Female,Disagree,Moderate impact,2,ON,DEC
