"Own
",Household,Vulnerable,CanadaPopHealth,WorldPopHealth,Overload,CivilDisorder,MaintainingSocials,CooperationDuring,"CooperationAfter
","
FamilyStress","
ViolenceHome",Gender,JobLos,Finance,Province,VERDATE
Somewhat,Extremely,Very,Very,Very,Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Female,Strongly agree,Moderate impact,Ontario,DEC
Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Male,Strongly agree,Moderate impact,British Columbia,DEC
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Male,Strongly agree,Major impact,Ontario,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Alberta,DEC
Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Not at all,Male,Disagree,Moderate impact,Ontario,DEC
Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,Alberta,DEC
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Neither agree nor disagree,Minor impact,Ontario,DEC
Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Male,Neither agree nor disagree,Major impact,British Columbia,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Female,Not working at a job or business,No impact,Ontario,DEC
Not at all,Very,Extremely,Very,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly disagree,Major impact,Nova Scotia,DEC
Very,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Moderate impact,Saskatchewan,DEC
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,Too soon to tell,Alberta,DEC
Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Neither agree nor disagree,Moderate impact,Ontario,DEC
Somewhat,Very,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,British Columbia,DEC
Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Extremely,Very,Very,Not at all,Female,Disagree,No impact,Newfoundland and Labrador,DEC
Somewhat,Not at all,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,Nunavut,DEC
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Not at all,Male,Strongly agree,Major impact,Quebec,DEC
Somewhat,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Strongly disagree,Too soon to tell,Ontario,DEC
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Nova Scotia,DEC
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,Ontario,DEC
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Somewhat,Male,Strongly disagree,Too soon to tell,Ontario,DEC
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Not working at a job or business,No impact,Ontario,DEC
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Saskatchewan,DEC
Very,Very,Very,Extremely,Very,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Female,Agree,Too soon to tell,Ontario,DEC
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Disagree,Minor impact,Ontario,DEC
Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Minor impact,Ontario,DEC
Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Very,Extremely,Extremely,Female,Strongly disagree,Minor impact,Quebec,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Somewhat,Extremely,Extremely,Not at all,Male,Strongly agree,Moderate impact,Ontario,DEC
Very,Very,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Extremely,Not at all,Female,Strongly agree,Moderate impact,Alberta,DEC
Somewhat,Not at all,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Ontario,DEC
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Female,Disagree,Moderate impact,Ontario,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,Ontario,DEC
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,Ontario,DEC
Very,Not at all,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Not at all,Female,Not working at a job or business,Moderate impact,Nova Scotia,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Moderate impact,Ontario,DEC
Somewhat,Somewhat,Extremely,Not at all,Not at all,Extremely,Somewhat,Extremely,Extremely,Very,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,Ontario,DEC
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Somewhat,Not at all,Male,Neither agree nor disagree,Minor impact,Alberta,DEC
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,DEC
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Very,Very,Not at all,Not at all,Male,Strongly agree,Too soon to tell,Ontario,DEC
Somewhat,Extremely,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Extremely,Extremely,Not at all,Male,Strongly disagree,Moderate impact,British Columbia,DEC
Very,Not at all,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,Ontario,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Very,Not at all,Not at all,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,Ontario,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Neither agree nor disagree,Major impact,Nova Scotia,DEC
Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Ontario,DEC
Very,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,Nova Scotia,DEC
Not at all,Not at all,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,British Columbia,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Major impact,Ontario,DEC
Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,Ontario,DEC
Very,Very,Extremely,Very,Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,Ontario,DEC
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Not at all,Not at all,Female,Disagree,Moderate impact,Ontario,DEC
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Extremely,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,DEC
Extremely,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,British Columbia,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Extremely,Not at all,Female,Agree,Moderate impact,Ontario,DEC
Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Male,Strongly agree,Too soon to tell,Quebec,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Not at all,Female,Disagree,No impact,Ontario,DEC
Somewhat,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Not at all,Somewhat,Male,Agree,Moderate impact,Quebec,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Strongly agree,Major impact,Ontario,DEC
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Extremely,Very,Somewhat,Extremely,Not at all,Female,Strongly disagree,Too soon to tell,Ontario,DEC
Somewhat,Somewhat,Very,Very,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Male,Not working at a job or business,No impact,British Columbia,DEC
Very,Not at all,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,DEC
Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Moderate impact,Alberta,DEC
Not at all,Somewhat,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly agree,Major impact,Alberta,DEC
Very,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Very,Not at all,Female,Strongly disagree,Moderate impact,British Columbia,DEC
Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Male,Strongly disagree,Moderate impact,British Columbia,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,Saskatchewan,DEC
Extremely,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Female,Not working at a job or business,Minor impact,Ontario,DEC
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Not working at a job or business,No impact,Nova Scotia,DEC
Very,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Very,Not at all,Female,Strongly agree,Moderate impact,Ontario,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Not at all,Male,Agree,Major impact,Ontario,DEC
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,Moderate impact,Alberta,DEC
Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,British Columbia,DEC
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,British Columbia,DEC
Not at all,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,British Columbia,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,Ontario,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,Minor impact,Ontario,DEC
Very,Not at all,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,Too soon to tell,Ontario,DEC
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,Ontario,DEC
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,No impact,British Columbia,DEC
Somewhat,Very,Extremely,Somewhat,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Very,Extremely,Female,Strongly agree,Major impact,British Columbia,DEC
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,Nova Scotia,DEC
Not at all,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Very,Very,Not at all,Not at all,Female,Agree,Too soon to tell,Ontario,DEC
Very,Extremely,Extremely,Extremely,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Female,Strongly agree,Major impact,British Columbia,DEC
Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,Moderate impact,Alberta,DEC
Somewhat,Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Very,Very,Not at all,Not at all,Female,Not working at a job or business,Minor impact,Alberta,DEC
Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Not at all,Extremely,Extremely,Extremely,Somewhat,Not at all,Male,Disagree,Minor impact,Manitoba,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,Ontario,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,DEC
Not at all,Not at all,Extremely,Very,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Disagree,No impact,New Brunswick,NOV
Very,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Extremely,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,Major impact,Ontario,NOV
Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,Major impact,Ontario,NOV
Somewhat,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Minor impact,Ontario,NOV
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Extremely,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,No impact,Ontario,NOV
Very,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Extremely,Very,Very,Somewhat,Female,Not working at a job or business,Too soon to tell,Ontario,NOV
Very,Somewhat,Somewhat,Extremely,Somewhat,Very,Somewhat,Very,Very,Not at all,Extremely,Not at all,Female,Strongly disagree,No impact,Nova Scotia,NOV
Very,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Female,Disagree,No impact,Quebec,NOV
Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Very,Very,Very,Very,Extremely,Very,Female,Strongly agree,Major impact,British Columbia,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Disagree,No impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,Alberta,NOV
Somewhat,Somewhat,Extremely,Somewhat,Very,Extremely,Not at all,Somewhat,Somewhat,Very,Somewhat,Very,Female,Neither agree nor disagree,Minor impact,British Columbia,NOV
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Extremely,Very,Male,Agree,No impact,Ontario,NOV
Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Not working at a job or business,Major impact,Ontario,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Female,Strongly disagree,Minor impact,British Columbia,NOV
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Disagree,Too soon to tell,Newfoundland and Labrador,NOV
Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,British Columbia,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,Saskatchewan,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,Ontario,NOV
Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Extremely,Female,Strongly disagree,No impact,British Columbia,NOV
Somewhat,Somewhat,Very,Not at all,Not at all,Extremely,Somewhat,Very,Not at all,Somewhat,Very,Not at all,Male,Strongly disagree,No impact,Manitoba,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Not working at a job or business,No impact,British Columbia,NOV
Very,Very,Very,Very,Somewhat,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,Nova Scotia,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Not at all,Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Ontario,NOV
Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,Alberta,NOV
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,British Columbia,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Not at all,Female,Not working at a job or business,Major impact,Quebec,NOV
Somewhat,Very,Very,Very,Extremely,Extremely,Not at all,Somewhat,Very,Very,Somewhat,Not at all,Female,Agree,Minor impact,British Columbia,NOV
Very,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,Ontario,NOV
Somewhat,Not at all,Extremely,Very,Very,Extremely,Extremely,Not at all,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,NOV
Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Somewhat,Very,Very,Extremely,Somewhat,Male,Disagree,No impact,Quebec,NOV
Very,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Male,Agree,Minor impact,British Columbia,NOV
Somewhat,Somewhat,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Moderate impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Very,Very,Extremely,Female,Agree,Minor impact,Ontario,NOV
Somewhat,Very,Very,Very,Very,Extremely,Very,Somewhat,Extremely,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,Alberta,NOV
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,Ontario,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Minor impact,Quebec,NOV
Very,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Major impact,Ontario,NOV
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,Nova Scotia,NOV
Somewhat,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Male,Strongly agree,Minor impact,British Columbia,NOV
Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,NOV
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Female,Agree,Major impact,Ontario,NOV
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Female,Strongly disagree,Moderate impact,Ontario,NOV
Not at all,Not at all,Very,Somewhat,Very,Very,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Male,Strongly disagree,No impact,Ontario,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Very,Very,Very,Not at all,Female,Strongly agree,Moderate impact,Alberta,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,British Columbia,NOV
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Female,Agree,Moderate impact,Alberta,NOV
Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Somewhat,Extremely,Very,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Male,Strongly agree,Minor impact,Ontario,NOV
Very,Extremely,Extremely,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,Alberta,NOV
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Not at all,Very,Very,Not at all,Somewhat,Not at all,Male,Strongly disagree,Minor impact,British Columbia,NOV
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Not at all,Very,Somewhat,Somewhat,Not at all,Male,Agree,Moderate impact,Nova Scotia,NOV
Very,Very,Very,Very,Very,Somewhat,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,Too soon to tell,Quebec,NOV
Very,Very,Very,Somewhat,Somewhat,Extremely,Very,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,Nova Scotia,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,Ontario,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Neither agree nor disagree,Moderate impact,Manitoba,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Extremely,Extremely,Not at all,Not at all,Male,Strongly disagree,No impact,Ontario,NOV
Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,British Columbia,NOV
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Not at all,Female,Strongly agree,Minor impact,Ontario,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Alberta,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Very,Not at all,Female,Agree,Major impact,Ontario,NOV
Not at all,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,Ontario,NOV
Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Agree,Moderate impact,Ontario,NOV
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Somewhat,Very,Very,Very,Female,Strongly agree,Moderate impact,Alberta,NOV
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Somewhat,Very,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,Alberta,NOV
Somewhat,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Male,Strongly agree,Minor impact,Ontario,NOV
Somewhat,Very,Extremely,Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Male,Strongly agree,Moderate impact,Quebec,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Very,Extremely,Somewhat,Not at all,Male,Agree,Moderate impact,Saskatchewan,NOV
Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Major impact,Ontario,NOV
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Not at all,Male,Strongly agree,Moderate impact,British Columbia,NOV
Extremely,Not at all,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,Ontario,NOV
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,British Columbia,NOV
Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Male,Strongly disagree,Moderate impact,Alberta,NOV
Not at all,Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Manitoba,NOV
Very,Not at all,Very,Very,Very,Extremely,Not at all,Somewhat,Very,Very,Not at all,Very,Female,Agree,No impact,Ontario,NOV
